Url,Brand,Model,Movement,Limited,Case Material,Glass,Case Back,Case Shape,Case Diameter,Water Resistance,Dial Color,Dial Indexes,Dial Hands,Price
https://watchbase.com/patek-philippe/gondolo/5101g-001,Patek Philippe,Gondolo,Patek Philippe caliber TO 28-20 REC 10J PS IRM,No,White Gold,Sapphire,Open,Rectangular,33.4,30.0,Blue,Arabic Numerals,Dauphine,
https://watchbase.com/patek-philippe/gondolo/5098p-001,Patek Philippe,Gondolo,Patek Philippe caliber 25-21 REC,No,Platinum,Sapphire,Open,Tonneau,32.0,30.0,Silver,Arabic Numerals,Poire,41050.0
https://watchbase.com/patek-philippe/gondolo/5200g-001,Patek Philippe,Gondolo,Patek Philippe caliber 28-20 REC 8J PS IRM C J,No,White Gold,Sapphire,Open,Rectangular,32.4,30.0,Blue,Stick / Dot,Dauphine,52100.0
https://watchbase.com/patek-philippe/gondolo/5124g-001,Patek Philippe,Gondolo,Patek Philippe caliber 25-21 REC PS,No,White Gold,Sapphire,Open,Rectangular,33.4,30.0,Beige,Arabic Numerals,Dauphine,14910.0
https://watchbase.com/patek-philippe/gondolo/5124g-011,Patek Philippe,Gondolo,Patek Philippe caliber 25-21 REC PS,No,White Gold,Sapphire,Open,Rectangular,33.4,30.0,Blue,Stick / Dot,Dauphine,25700.0
https://watchbase.com/patek-philippe/golden-ellipse/5738-50p-001,Patek Philippe,Golden Ellipse,Patek Philippe caliber 240,Yes,Platinum,Sapphire,Closed,Rectangular,34.5,30.0,Black,Stick / Dot,Stick,
https://watchbase.com/patek-philippe/golden-ellipse/5738-51g-001,Patek Philippe,Golden Ellipse,Patek Philippe caliber 240,No,White Gold,Sapphire,Closed,Rectangular,34.5,30.0,Black,Stick / Dot,Stick,
https://watchbase.com/patek-philippe/golden-ellipse/5738r-001,Patek Philippe,Golden Ellipse,Patek Philippe caliber 240,No,Rose Gold,Sapphire,Closed,Rectangular,34.5,30.0,Black,Stick / Dot,Stick,
https://watchbase.com/patek-philippe/golden-ellipse/5738-50g-012,Patek Philippe,Golden Ellipse,Patek Philippe caliber 240,No,White Gold,Sapphire,Closed,Rectangular,34.5,30.0,Multi-Color,Stick / Dot,Stick,
https://watchbase.com/patek-philippe/golden-ellipse/5738-50g-010,Patek Philippe,Golden Ellipse,Patek Philippe caliber 240,No,White Gold,Sapphire,Closed,Rectangular,34.5,30.0,Multi-Color,Stick / Dot,Stick,
https://watchbase.com/patek-philippe/golden-ellipse/3738-100r-001,Patek Philippe,Golden Ellipse,Patek Philippe caliber 240,No,Rose Gold,Sapphire,Closed,Rectangular,31.1,30.0,Brown,Stick / Dot,Stick,25000.0
https://watchbase.com/patek-philippe/golden-ellipse/3738-100g-012,Patek Philippe,Golden Ellipse,Patek Philippe caliber 240,No,White Gold,Sapphire,Closed,Rectangular,31.1,30.0,Grey,Stick / Dot,Stick,25000.0
https://watchbase.com/patek-philippe/golden-ellipse/5738-50g-011,Patek Philippe,Golden Ellipse,Patek Philippe caliber 240,No,White Gold,Sapphire,Closed,Rectangular,34.5,30.0,Multi-Color,Stick / Dot,Stick,
https://watchbase.com/patek-philippe/golden-ellipse/5738-1r-001,Patek Philippe,Golden Ellipse,Patek Philippe caliber 240,No,Rose Gold,Sapphire,Closed,Rectangular,34.5,30.0,Black,Stick / Dot,Stick,
https://watchbase.com/patek-philippe/golden-ellipse/5738-50g-024,Patek Philippe,Golden Ellipse,Patek Philippe caliber 240,Yes,White Gold,Sapphire,Closed,Rectangular,34.5,30.0,Multi-Color,Stick / Dot,Stick,
https://watchbase.com/patek-philippe/golden-ellipse/5738-50g-023,Patek Philippe,Golden Ellipse,Patek Philippe caliber 240,Yes,White Gold,Sapphire,Closed,Rectangular,34.5,30.0,Multi-Color,Stick / Dot,Stick,
https://watchbase.com/patek-philippe/golden-ellipse/5738-50g-025,Patek Philippe,Golden Ellipse,Patek Philippe caliber 240,Yes,White Gold,Sapphire,Closed,Rectangular,34.5,30.0,Multi-Color,Stick / Dot,Stick,
https://watchbase.com/patek-philippe/golden-ellipse/3738-100j-012,Patek Philippe,Golden Ellipse,Patek Philippe caliber 240,No,Yellow Gold,Sapphire,Closed,Rectangular,31.1,30.0,Blue,Stick / Dot,Stick,14410.0
https://watchbase.com/patek-philippe/golden-ellipse/5738-50j-011,Patek Philippe,Golden Ellipse,Patek Philippe caliber 240,Yes,White Gold,Sapphire,Closed,Rectangular,34.5,30.0,Multi-Color,Stick / Dot,Stick,
https://watchbase.com/patek-philippe/golden-ellipse/5738p-001,Patek Philippe,Golden Ellipse,Patek Philippe caliber 240,No,Platinum,Sapphire,Closed,Rectangular,34.5,30.0,Blue,Stick / Dot,Stick,29250.0
https://watchbase.com/patek-philippe/golden-ellipse/5738-50g-029,Patek Philippe,Golden Ellipse,Patek Philippe caliber 240,Yes,White Gold,Sapphire,Closed,Rectangular,34.5,30.0,Multi-Color,Stick / Dot,Stick,
https://watchbase.com/patek-philippe/pocket-watches/982-140g,Patek Philippe,Pocket Watches,Patek Philippe caliber 17''' LEP PS IRM,Yes,White Gold,Sapphire,Hinged,Round,42.0,100.0,Blue,Arabic Numerals,Feuille,
https://watchbase.com/patek-philippe/twenty-4/4909-107g,Patek Philippe,Twenty~4,Patek Philippe caliber  16-250,Yes,White Gold,Sapphire,Open,Rectangular,42.0,30.0,Paved,Roman Numerals,Feuille,
https://watchbase.com/patek-philippe/twenty-4/7300-1200r-010-t,Patek Philippe,Twenty~4,Patek Philippe caliber 324 S C,No,Rose Gold,Sapphire,Open,Round,36.0,30.0,Silver,Arabic Numerals,Baton,
https://watchbase.com/patek-philippe/twenty-4/4909-101r,Patek Philippe,Twenty~4,Patek Philippe caliber  16-250,Yes,Rose Gold,Sapphire,Open,Rectangular,42.0,30.0,Paved,Roman Numerals,Feuille,
https://watchbase.com/patek-philippe/twenty-4/4909-100r,Patek Philippe,Twenty~4,Patek Philippe caliber  16-250,Yes,Rose Gold,Sapphire,Open,Rectangular,42.0,100.0,Paved,Roman Numerals,Feuille,
